Sl No,CATEGORY,MIN. COURSES #,MIN. CREDITS #,COURSE CODE,COURSE TITLE,CR
1,Humanities & Social Sciences (HSS),11,18,22UC1101,INTEGRATED PROFESSIONAL ENGLISH,2
2,,,,22UC1202,ENGLISH PROFICIENCY,2
3,,,,22UC2103,ESSENTIAL SKILLS FOR EMPLOYABILITY,2
4,,,,22UC2204,CORPORATE READINESS SKILLS,2
5,,,,22UC0010,UNIVERSAL HUMAN VALUES & PROFESSIONAL ETHICS,2
6,,,,22UC1203,DESIGN THINKING AND INNOVATION,2
7,,,,22UC0012,INNOVATION MANAGEMENT,2
8,,,,22UC0021,SOCIAL IMMERSIVE LEARNING,1
9,,,,22UC0022,SOCIAL IMMERSIVE LEARNING,1
10,,,,22UC0023,SOCIAL IMMERSIVE LEARNING,1
11,,,,22UC0024,SOCIAL IMMERSIVE LEARNING,1
12,,,,,,
13,Basic Sciences (BS),6,23.5,22MT1101,MATHEMATICS FOR COMPUTING,4.5
14,,,,22MT2102,MATHEMATICS FOR ENGINEERS,3
15,,,,22MT2004,MATHEMATICAL PROGRAMMING,4
16,,,,22MT2005,"PROBABILITY, STATISTICS & QUEUEING THEORY",4
17,,,,22PH4102,APPLIED PHYSICS,4
18,,,,22PH4101,QUANTUM PHYSICS FOR ENGINEERS,4
19,,,,,Engineering Chemistry,4
20,,,,,,
21,Engineering Sciences (ES),9,27.5,22SC1101,COMPUTATIONAL THINKING FOR STRUCTURED DESIGN,5.5
22,,,,22SC1202,DATA STRUCTURES,5
23,,,,22ME1103,DESIGN TOOLS WORKSHOP,2
24,,,,22SC1209,IOT WORKSHOP,2
25,,,,22EC1202,COMPUTER ORGANIZATION & ARCHITECTURE,2
26,,,,22AD1202,OBJECT ORIENTED PROGRAMMING SYSTEM (PYTHON),5
27,,,,22UC3108,PROBLEM SOLVING & REASONING SKILLS-1,1
28,,,,22UC3209,PROBLEM SOLVING & REASONING SKILLS-2,1
29,,,,22EC1101,DIGITAL LOGIC AND PROCESSORS,4
30,,,,,,
31,Professional Core (PC),11,47,22CI2001,ADAPTIVE SOFTWARE ENGINEERING,3
32,,,,22CS2205R,DESIGN  & ANALYSIS OF ALGORITHMS,4
33,,,,22CS2104R,OPERATING SYSTEMS,3
34,,,,22AD2102R,DATABASE MANAGEMENT SYSTEMS,3
35,,,,22AD2001,DATA DRIVEN ARTIFICIAL INTELLIGENT SYSTEMS,3
36,,,,22AD2203R,MACHINE LEARNING,4
37,,,,22CS2104A,OPERATING SYSTEMS,5
38,,,,22AD2001R,DATA DRIVEN ARTIFICIAL INTELLIGENT SYSTEMS,3
39,,,,22EC2210R,NETWORK PROTOCOLS & SECURITY,4
40,,,,22EC2210A,NETWORK PROTOCOLS & SECURITY,6
41,,,,22AD2203A,MACHINE LEARNING,6
42,,,,22EC2210P,NETWORK PROTOCOLS & SECURITY,6
43,,,,22CS2104P,OPERATING SYSTEMS,5
44,,,,22AD2203P,MACHINE LEARNING,6
45,,,,22AD2102P,DATABASE MANAGEMENT SYSTEMS,5
46,,,,22AD2001A,DATA DRIVEN ARTIFICIAL INTELLIGENT SYSTEMS,5
47,,,,22AD2102A,DATABASE MANAGEMENT SYSTEMS,5
48,,,,22CS2205A,DESIGN  & ANALYSIS OF ALGORITHMS,6
49,,,,22AD2001P,DATA DRIVEN ARTIFICIAL INTELLIGENT SYSTEMS,5
50,,,,22AD3104A,DATA WAREHOUSING AND MINING,5
51,,,,22AD3104R,DATA WAREHOUSING AND MINING,3
52,,,,22AD3206R,DATA SCIENCE AND VISUALIZATION,3
53,,,,22AD3207A,BIG DATA ANALYTICS,6
54,,,,22AD3206A,DATA SCIENCE AND VISUALIZATION,3
55,,,,22AD3206P,DATA SCIENCE AND VISUALIZATION,5
56,,,,22AD3207P,BIG DATA ANALYTICS,6
57,,,,22AD3105A,DEEP LEARNING,6
58,,,,22AD3105R,DEEP LEARNING,4
59,,,,22AD3104P,DATA WAREHOUSING AND MINING,5
60,,,,22AD3105P,DEEP LEARNING,6
61,,,,,,
62,SDC,4,8,22SDCS05A,CLOUD BASED SECURITY SPECIALITY,4
63,,,,22SDCI05A,CLOUD DEVOPS,4
64,,,,22SDCS05R,CLOUD BASED SECURITY SPECIALITY,2
65,,,,22SDCS04R,CLOUD BASED SOLUTIONS ARCHITECT,2
66,,,,22SDEE06A,EVT HARDWARE PROTOTYPING,4
67,,,,22SDCS06R,CERTIFIED GAME DEVELOPER,2
68,,,,22SDAD06A,ANALYSIS OF DIGITAL MARKETING,4
69,,,,22SDCS06A,CERTIFIED GAME DEVELOPER,4
70,,,,22SDCI05R,CLOUD DEVOPS,2
71,,,,22SDAD08A,EMERGING BLOCKCHAIN MODELS FOR DIGITAL CURRENCIES,4
72,,,,22SDCI04A,ADVANCED ANDROID MOBILE APPLICATION WITH CLOUD-BASED WEB SERVICES,4
73,,,,,,
74,SDC Elective,,,22TS1004,TOOL BASED LEARNING (CONPUTATIONAL INTELLIGENCE USING PYTHON),0
75,,,,22SDCS01R,MERN STACK WEB DEVELOPMENT,2
76,,,,22SDCI01R,PYTHON FULL STACK DEVELOPMENT WITH DJANGO,2
77,,,,22SDCI01A,PYTHON FULL STACK DEVELOPMENT WITH DJANGO,4
78,,,,22SDCS01A,MERNSTACK WEB DEVELOPMENT,4
79,,,,22SDAD05A,SKILL DEVELOPMENT PROJECT - 3 MLOPS,4
80,,,,22SDAD05R,SKILL DEVELOPMENT PROJECT - 3 MLOPS,4
81,,,,22SDAD05P,SKILL DEVELOPMENT PROJECT - 3 MLOPS,
82,,,,,,
83,Professional Elective - 1 (PE1),1,4,22SDM3101P,SENTIMENT ANALYSIS,
84,,,,22GDU3101P,PROGRAMMING FOR GAME DEVELOPMENT,
